# Repository: https://github.com/openclimatedata/globalwarmingpotentials,0,0,0,0,0,0,0,0,0,0,0
Species,SARGWP100,TARGWP100,AR4GWP100,AR5GWP100,AR5CCFGWP100,AR6GWP100,TARGWP20,AR6GWP20,TARGWP500,AR6GWP500,AR6GTP100
NF3,0,10800,17200,16100,17885,17400,7700,13400,13100,18200,20000
CF4,6500,5700,7390,6630,7349,7380,3900,5300,8900,10600,9050
C2F6,9200,11900,12200,11100,12340,12400,8000,8940,18000,17500,15200
C3F8,7000,8600,8830,8900,9878,9290,5900,6770,12400,12400,11200
cC4F8,8700,10000,10300,9540,10592,10200,6800,7400,14500,13800,12400
C4F10,7000,8600,8860,9200,10213,10000,5900,7300,12400,13400,12100
C5F12,7500,8900,9160,8550,9484,9220,6000,6680,13200,12700,11200
C6F14,7400,9000,9300,7910,8780,8620,6100,6260,13200,11600,10500
C7F16,0,0,0,7820,8681,8410,0,6120,0,11300,10200
C8F18,0,0,0,7620,8456,8260,0,6010,0,11100,10000
C10F18,0,0,0,7190,7977,7480,0,5480,0,9780,9010
SF5CF3,0,0,17700,17400,19396,18500,0,13900,0,21100,21600
cC3F6,0,0,0,9200,10208,0,0,0,0,0,0
HFE125,0,14900,14900,12400,13951,14300,12900,13500,9200,7680,13100
HFE134,0,6100,6320,5560,6512,6630,10500,12700,2000,1940,2060
HFE143a,0,750,756,523,632,616,2500,2170,230,176,113
HCFE235da2,0,340,350,491,595,539,1100,1930,110,154,98.4
HFE245cb2,0,580,708,654,790,747,1900,2630,180,213,137
HFE245fa2,0,570,659,812,981,878,1900,3060,180,251,162
HFE254cb2,0,30,0,0,0,0,99,0,9,0,0
HFE347mcc3,0,480,575,530,641,576,1600,2020,150,164,106
HFE347pcf2,0,0,580,889,1072,980,0,3370,0,279,181
HFE356pcc3,0,110,110,413,500,277,360,995,33,79,50.4
HFE569sf2,0,0,59,57,69,60.7,0,219,0,17.3,11
HFE4310pccc124,0,0,1870,2820,3353,3220,0,8720,0,920,647
HFE236ca12,0,0,2800,5350,6260,6060,0,11700,0,1770,1860
HFE338pcc13,0,0,1500,2910,3466,3320,0,9180,0,948,657
HFE227ea,0,1500,0,6450,7377,7520,4200,9800,460,2570,4440
HFE236ea2,0,960,0,1790,2143,2590,3100,7020,300,741,521
HFE236fa,0,470,0,979,1177,1100,1600,3670,150,315,205
HFE245fa1,0,280,0,828,997,934,940,3170,86,266,173
HFE263fb2,0,11,0,1,2,0,37,0,3,0,0
HFE329mcc2,0,890,0,3070,3598,3770,2800,7550,280,1100,1090
HFE338mcf2,0,540,0,929,1118,1040,1800,3460,170,297,194
HFE347mcf2,0,360,0,854,1028,963,1200,3270,110,275,179
HFE356mec3,0,98,0,387,468,264,330,949,30,75.3,48
HFE356pcf2,0,260,0,719,867,831,860,2870,80,237,154
HFE356pcf3,0,430,0,446,540,484,1500,1730,130,138,88.4
HFE365mcf3,0,11,0,0,1,1.6,38,5.77,4,0.457,0.289
HFE374pc2,0,540,0,627,758,12.5,1800,45,170,3.56,2.25
HFE7100,0,390,0,0,0,0,1300,0,120,0,0
HFE7200,0,55,0,0,0,0,190,0,17,0,0
PFPMIE,0,0,10300,9710,10789,10300,0,7750,0,11700,12000
CHCl3,4,30,0,16,20,20.6,100,74.2,9,5.87,3.72
CH2Cl2,9,10,8.7,9,11,11.2,35,40.2,3,3.18,2.01
CH3Cl,0,16,13,12,15,5.54,55,19.9,5,1.58,1
Halon1201,0,0,0,376,454,380,0,1340,0,108,69.8
CH3OCH3,0,1,0,0,0,0,1,0,0,0,0
(CF3)2CFOCH3,0,330,0,0,0,0,1100,0,100,0,0
CF3CH2OH,0,57,0,0,0,0,190,0,18,0,0
CF3CF2CH2OH,0,40,0,0,0,0,140,0,13,0,0
(CF3)2CHOH,0,190,0,0,0,0,640,0,59,0,0
(CF3)2CHOCHF2,0,370,0,0,0,0,1200,0,110,0,0
(CF3)2CHOCH3,0,26,0,0,0,0,88,0,8,0,0
HGalden1040x,0,1800,0,0,0,0,5900,0,560,0,0
HG10,0,2700,0,0,0,0,7500,0,850,0,0
HG01,0,1500,0,0,0,0,4700,0,450,0,0
CF3I,0,1,0,0,0,0,1,0,0,0,0
-(CF2)4CH(OH)-,0,70,0,0,0,0,240,0,22,0,0
